Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,26075.099609,26280.900391,26071.689453,26258.419922,26258.419922,295570000
2019-04-02,26213.550781,26221.240234,26122.310547,26179.130859,26179.130859,250940000
2019-04-03,26238.029297,26282.169922,26138.470703,26218.130859,26218.130859,271980000
2019-04-04,26213.419922,26398.900391,26212.779297,26384.630859,26384.630859,233040000
2019-04-05,26427.560547,26487.570313,26370.820313,26424.990234,26424.990234,229550000
2019-04-08,26312.669922,26344.650391,26246.029297,26341.019531,26341.019531,229380000
2019-04-09,26243.539063,26246.339844,26103.140625,26150.580078,26150.580078,244410000
2019-04-10,26173.710938,26209.490234,26101.240234,26157.160156,26157.160156,203130000
2019-04-11,26188.210938,26229.880859,26062.589844,26143.050781,26143.050781,211680000
2019-04-12,26357.789063,26436.679688,26309.720703,26412.300781,26412.300781,369910000
2019-04-15,26407.759766,26424.849609,26316.419922,26384.769531,26384.769531,250620000
2019-04-16,26482.189453,26530.710938,26397.189453,26452.660156,26452.660156,302340000
2019-04-17,26468.529297,26501.019531,26391.859375,26449.539063,26449.539063,367780000
2019-04-18,26463.369141,26602.419922,26444.529297,26559.539063,26559.539063,332850000
2019-04-22,26510.769531,26553.050781,26458.609375,26511.050781,26511.050781,232570000
2019-04-23,26513.830078,26695.960938,26503.560547,26656.390625,26656.390625,311690000
2019-04-24,26652.560547,26680.580078,26582.859375,26597.050781,26597.050781,283370000
2019-04-25,26426.369141,26536.480469,26310.279297,26462.080078,26462.080078,296730000
2019-04-26,26454.619141,26543.560547,26392.550781,26543.330078,26543.330078,317290000
2019-04-29,26559.869141,26602.539063,26520.750000,26554.390625,26554.390625,279450000
2019-04-30,26594.560547,26614.039063,26419.470703,26592.910156,26592.910156,340320000
2019-05-01,26639.060547,26689.390625,26426.380859,26430.140625,26430.140625,303850000
2019-05-02,26407.150391,26454.689453,26180.359375,26307.789063,26307.789063,287610000
2019-05-03,26379.140625,26534.960938,26370.089844,26504.949219,26504.949219,248900000
2019-05-06,26160.619141,26476.269531,26033.949219,26438.480469,26438.480469,283020000
2019-05-07,26276.900391,26276.900391,25789.710938,25965.089844,25965.089844,334960000
2019-05-08,25933.789063,26118.099609,25889.410156,25967.330078,25967.330078,276420000
2019-05-09,25878.849609,25884.890625,25517.390625,25828.359375,25828.359375,334760000
2019-05-10,25763.720703,26019.320313,25469.859375,25942.369141,25942.369141,294580000
2019-05-13,25568.060547,25568.060547,25222.509766,25324.990234,25324.990234,361240000
2019-05-14,25384.029297,25688.960938,25384.029297,25532.050781,25532.050781,291570000
2019-05-15,25400.130859,25724.890625,25341.939453,25648.019531,25648.019531,270720000
2019-05-16,25692.140625,25957.630859,25692.140625,25862.679688,25862.679688,320960000
2019-05-17,25719.949219,25948.740234,25657.779297,25764.000000,25764.000000,283760000
2019-05-20,25655.310547,25751.710938,25560.550781,25679.900391,25679.900391,279560000
2019-05-21,25782.339844,25898.269531,25779.609375,25877.330078,25877.330078,260870000
2019-05-22,25818.460938,25878.210938,25755.109375,25776.609375,25776.609375,241760000
2019-05-23,25657.990234,25657.990234,25328.089844,25490.470703,25490.470703,316940000
2019-05-24,25551.070313,25670.810547,25496.199219,25585.689453,25585.689453,201370000
2019-05-28,25616.550781,25717.630859,25342.279297,25347.769531,25347.769531,358980000
2019-05-29,25231.460938,25231.460938,24938.240234,25126.410156,25126.410156,298930000
2019-05-30,25139.939453,25218.539063,25066.750000,25169.880859,25169.880859,215240000
2019-05-31,25046.310547,25046.310547,24809.509766,24815.039063,24815.039063,292230000
2019-06-03,24830.160156,24935.210938,24680.570313,24819.779297,24819.779297,328240000
2019-06-04,24962.820313,25343.769531,24962.820313,25332.179688,25332.179688,281690000
2019-06-05,25451.000000,25544.660156,25373.580078,25539.570313,25539.570313,262660000
2019-06-06,25567.449219,25800.300781,25518.050781,25720.660156,25720.660156,248070000
2019-06-07,25768.720703,26072.750000,25768.720703,25983.939453,25983.939453,263010000
2019-06-10,26090.220703,26210.609375,26054.310547,26062.679688,26062.679688,249280000
2019-06-11,26180.589844,26248.669922,25998.869141,26048.509766,26048.509766,253490000
2019-06-12,26040.300781,26082.099609,25958.660156,26004.830078,26004.830078,223690000
2019-06-13,26036.939453,26146.910156,25995.710938,26106.769531,26106.769531,213400000
2019-06-14,26076.359375,26162.279297,25988.089844,26089.609375,26089.609375,208020000
2019-06-17,26108.529297,26165.779297,26049.800781,26112.529297,26112.529297,199500000
2019-06-18,26228.880859,26527.189453,26227.759766,26465.539063,26465.539063,273490000
2019-06-19,26490.160156,26569.750000,26415.050781,26504.000000,26504.000000,240950000
2019-06-20,26665.380859,26798.630859,26539.689453,26753.169922,26753.169922,278170000
2019-06-21,26749.119141,26907.369141,26705.869141,26719.130859,26719.130859,485560000
2019-06-24,26727.609375,26806.519531,26723.369141,26727.539063,26727.539063,232390000
2019-06-25,26731.609375,26752.310547,26527.660156,26548.220703,26548.220703,282160000
2019-06-26,26599.419922,26660.039063,26536.330078,26536.820313,26536.820313,274340000
2019-06-27,26523.720703,26607.240234,26465.320313,26526.580078,26526.580078,246930000
2019-06-28,26605.929688,26638.349609,26522.269531,26599.960938,26599.960938,499350000
